Date,load,zone
1/2/18 22:00,5154,PACE
1/2/18 22:00,2657,PACW
1/2/18 22:00,11104,PGE
1/2/18 22:00,2681,PGE-NEW
1/2/18 22:00,3322,PSEI
1/2/18 22:00,10824,SCE
1/2/18 22:00,2285,SDGE
1/2/18 22:00,70,VEA
1/2/18 23:00,2560,AZPS
1/2/18 23:00,22571,CA ISO
1/2/18 23:00,3609,NEVP
1/2/18 23:00,4980,PACE
1/2/18 23:00,2469,PACW
1/2/18 23:00,10372,PGE
1/2/18 23:00,2454,PGE-NEW
1/2/18 23:00,3046,PSEI
1/2/18 23:00,10075,SCE
1/2/18 23:00,2055,SDGE
1/2/18 23:00,69,VEA
1/3/18 0:00,2502,AZPS
1/3/18 0:00,21557,CA ISO
1/3/18 0:00,3481,NEVP
1/3/18 0:00,4895,PACE
1/3/18 0:00,2355,PACW
1/3/18 0:00,10045,PGE
1/3/18 0:00,2306,PGE-NEW
1/3/18 0:00,2883,PSEI
1/3/18 0:00,9508,SCE
1/3/18 0:00,1936,SDGE
1/3/18 0:00,68,VEA
1/3/18 1:00,2480,AZPS
1/3/18 1:00,20731,CA ISO
1/3/18 1:00,3406,NEVP
1/3/18 1:00,4858,PACE
1/3/18 1:00,2299,PACW
1/3/18 1:00,9672,PGE
1/3/18 1:00,2231,PGE-NEW
1/3/18 1:00,2825,PSEI
1/3/18 1:00,9137,SCE
1/3/18 1:00,1852,SDGE
1/3/18 1:00,70,VEA
1/3/18 2:00,2506,AZPS
1/3/18 2:00,20234,CA ISO
1/3/18 2:00,3370,NEVP
1/3/18 2:00,4863,PACE
1/3/18 2:00,2277,PACW
1/3/18 2:00,9440,PGE
1/3/18 2:00,2202,PGE-NEW
1/3/18 2:00,2836,PSEI
1/3/18 2:00,8931,SCE
1/3/18 2:00,1791,SDGE
1/3/18 2:00,72,VEA
1/3/18 3:00,2602,AZPS
1/3/18 3:00,20114,CA ISO
1/3/18 3:00,3374,NEVP
1/3/18 3:00,4930,PACE
1/3/18 3:00,2292,PACW
1/3/18 3:00,9397,PGE
1/3/18 3:00,2220,PGE-NEW
