Category,v 2019  ,Plant ID,Plant Name,Unit,Status,Start Date,Retire Date,Prime mover ID,Prime Mover,Capacity,net MWh,Primary,Primary,Secondary,Secondary
,,,,,,,,,Description,,,Fuel Use MMBTU,Energy Source,Fuel Use MMBTU,Energy Source
G,2019,G0032,Berry Placerita Cogen,Cogen 42,OP,3/1/1990,,GT,Combustion (gas) Turbine,21.4,120084,1434730,NG,0,UNK
G,2019,G0032,Berry Placerita Cogen,Cogen 42-2,OP,5/1/1990,,GT,Combustion (gas) Turbine,21.4,168573,1903320,NG,0,UNK
H,2019,H0323,Bidwell Ditch,UNIT 1,OP,1/1/1987,,HY,Hydraulic Turbine (conventional),2,7583,0,WAT,0,UNK
G,2019,G1074,Big Bear Area Regional Wastewater Agency,Cummins 1,OP,3/1/2008,,IC,"Internal Combustion Engine (diesel, piston)",0.25,875,10916,NG,0,N/A
G,2019,G1074,Big Bear Area Regional Wastewater Agency,Cummins 2,OP,3/1/2008,,IC,"Internal Combustion Engine (diesel, piston)",0.25,1055.2,14238,NG,0,N/A
G,2019,G1074,Big Bear Area Regional Wastewater Agency,Waukesha,OP,7/15/2003,,IC,"Internal Combustion Engine (diesel, piston)",0.6,2485.9,22307,NG,0,N/A
H,2019,H0027,Big Creek 1,UNIT 1,OP,11/1/1913,,HY,Hydraulic Turbine (conventional),82.9,345253,0,WAT,0,UNK
H,2019,H0028,Big Creek 2,UNIT 1,OP,11/26/1913,,HY,Hydraulic Turbine (conventional),67.1,329938,0,WAT,0,UNK
H,2019,H0030,Big Creek 2A,UNIT 1,OP,8/1/1928,,HY,Hydraulic Turbine (conventional),98.5,505669,0,WAT,0,UNK
H,2019,H0032,Big Creek 3,UNIT 1,OP,9/1/1923,,HY,Hydraulic Turbine (conventional),177,859281,0,WAT,0,UNK
H,2019,H0034,Big Creek 4,1,OP,9/1/1923,,HY,Hydraulic Turbine (conventional),100,513541,0,WAT,0,UNK
H,2019,H0036,Big Creek 8,UNIT 1,OP,1/1/1921,,HY,Hydraulic Turbine (conventional),64.5,283943,0,WAT,0,UNK
H,2019,H0037,Big Creek Water Works,BCHY,SB,1/1/1987,,HY,Hydraulic Turbine (conventional),5,8041.18,0,WAT,0,UNK
T,2019,T0060,Big Geysers #13,BGST13,OP,1/1/1980,,ST,Steam Turbine,95,351745,0,GEO,0,UNK
H,2019,H0040,Big Pine,Unit 1,OP,7/1/1925,,HY,Hydraulic Turbine (conventional),3.2,160,0,WAT,0,UNK
